;Resene RGB Values List
;For further information refer to http://www.resene.co.nz
;Copyright Resene Paints Ltd 2001
;
;Permission to copy this software, to modify it, to redistribute it,
;to distribute modified versions, and to use it for any purpose is
;granted, subject to the following restrictions and understandings.
;
;1. Any text copy made of this dictionary must include this copyright
;notice in full.
;
;2. Any redistribution in binary form must reproduce this copyright
;notice in the documentation or other materials provided with the
;distribution.
;
;3. Resene Paints Ltd makes no warranty or representation that this
;dictionary is error-free, and is under no obligation to provide
;any services, by way of maintenance, update, or otherwise.
;
;4. There shall be no use of the name of Resene or Resene Paints Ltd in
;any advertising, promotional, or sales literature without prior
;written consent in each case.
;
;5. These RGB* colour formulations may not be used to the detriment of
;Resene Paints Ltd.
;
;*Modified to be hexidecimal format 
Resene Abbey    #4c4f56
Resene Acadia    #1b1404
Resene Acapulco    #7cb0a1
Resene Acorn    #6a5d1b
Resene Aero Blue    #c9ffe5
Resene Affair    #714693
Resene Afghan Tan    #86560a
Resene Akaroa    #d4c4a8
Resene Alabaster    #ffffff
Resene Albescent White    #f5e9d3
Resene Alert Tan    #9b4703
Resene Allports    #0076a3
Resene Almond Frost    #907b71
Resene Alpine    #af8f2c
Resene Alto    #dbdbdb
Resene Aluminium    #a9acb6
Resene Amazon    #3b7a57
Resene Americano    #87756e
Resene Amethyst Smoke    #a397b4
Resene Amour    #f9eaf3
Resene Amulet    #7b9f80
Resene Anakiwa    #9de5ff
Resene Antique Brass    #704a07
Resene Anzac    #e0b646
Resene Apache    #dfbe6f
Resene Apple    #4fa83d
Resene Apple Blossom    #af4d43
Resene Apple Green    #e2f3ec
Resene Apricot    #eb9373
Resene Apricot White    #fffeec
Resene Aqua    #a1dad7
Resene Aqua Haze    #edf5f5
Resene Aqua Spring    #eaf9f5
Resene Aqua Squeeze    #e8f5f2
Resene Aquamarine    #014b43
Resene Arapawa    #110c6c
Resene Armadillo    #433e37
Resene Arrowtown    #948771
Resene Ash    #c6c3b5
Resene Ash Brown    #2e1905
Resene Asphalt    #130a06
Resene Astra    #faeab9
Resene Astral    #327da0
Resene Astronaut    #283a77
Resene Astronaut Blue    #013e62
Resene Athens Grey    #eef0f3
Resene Aths Special    #ecebce
Resene Atlantis    #97cd2d
Resene Atoll    #0a6f75
Resene Atomic    #314459
Resene Au Chico    #97605d
Resene Aubergine    #3b0910
Resene Australian Mint    #f5ffbe
Resene Avocado    #888d65
Resene Axolotl    #4e6649
Resene Azalea    #f7c8da
Resene Aztec    #0d1c19
Resene Azure    #315ba1
Resene Bahama Blue    #026395
Resene Bahia    #a5cb0c
Resene Baja White    #fff8d1
Resene Bali Hai    #859faf
Resene Baltic Sea    #2a2630
Resene Bamboo    #da6304
Resene Bandicoot    #858470
Resene Banjul    #130a06
Resene Barberry    #ded717
Resene Barley Corn    #a68b5b
Resene Barley White    #fff4ce
Resene Barossa    #44012d
Resene Bastille    #292130
Resene Battleship Grey    #828f72
Resene Bay Leaf    #7da98d
Resene Bay of Many    #273a81
Resene Bazaar    #98777b
Resene Bean      #3d0c02
Resene Beauty Bush    #eec1be
Resene Beeswax    #fef2c7
Resene Bermuda    #7dd8c6
Resene Bermuda Grey    #6b8ba2
Resene Beryl Green    #dee5c0
Resene Bianca    #fcfbf3
Resene Big Stone    #162a40
Resene Bilbao    #327c14
Resene Biloba Flower    #b2a1ea
Resene Birch    #373021
Resene Bird Flower    #d4cd16
Resene Biscay    #1b3162
Resene Bismark    #497183
Resene Bison Hide    #c1b7a4
Resene Bitter    #868974
Resene Bitter Lemon    #cae00d
Resene Bizarre    #eededa
Resene Black Bean    #081910
Resene Black Forest    #0b1304
Resene Black Haze    #f6f7f7
Resene Black Magic    #251706
Resene Black Marlin    #3e2c1c
Resene Black Pearl    #041322
Resene Black Pepper    #0e0e18
Resene Black Rock    #0d0332
Resene Black Rose    #67032d
Resene Black Russian    #0a001c
Resene Black Squeeze    #f2fafa
Resene Black White    #fffef6
Resene Blackberry    #4d0135
Resene Blackcurrant    #32293a
Resene Blackwood    #261105
Resene Blanc    #f5e9d3
Resene Bleach White    #fef3d8
Resene Bleached Cedar    #2c2133
Resene Blossom    #dcb4bc
Resene Blue Bark    #041322
Resene Blue Bayoux    #496679
Resene Blue Bell    #220878
Resene Blue Chalk    #f1e9ff
Resene Blue Charcoal    #010d1a
Resene Blue Chill    #0c8990
Resene Blue Diamond    #380474
Resene Blue Dianne    #204852
Resene Blue Gem    #2c0e8c
Resene Blue Haze    #bfbed8
Resene Blue Lagoon    #017987
Resene Blue Marguerite    #7666c6
Resene Blue Romance    #d2f6de
Resene Blue Smoke    #748881
Resene Blue Stone    #016162
Resene Blue Whale    #042e4c
Resene Blue Zodiac    #13264d
Resene Blumine    #18587a
Resene Blush    #b44668
Resene Bokara Grey    #1c1208
Resene Bombay    #afb1b8
Resene Bon Jour    #e5e0e1
Resene Bondi Blue    #02478e
Resene Bone    #e4d1c0
Resene Bordeaux    #5c0120
Resene Bossanova    #4e2a5a
Resene Boston Blue    #3b91b4
Resene Botticelli    #c7dde5
Resene Bottle Green    #093624
Resene Boulder    #7a7a7a
Resene Bouquet    #ae809e
Resene Bourbon    #ba6f1e
Resene Bracken    #4a2a04
Resene Brandy    #dec196
Resene Brandy Punch    #cd8429
Resene Brandy Rose    #bb8983
Resene Brazil    #886221
Resene Breaker Bay    #5da19f
Resene Bridal Heath    #fffaf4
Resene Bridesmaid    #fef0ec
Resene Bright Grey    #3c4151
Resene Bright Red    #b10000
Resene Bright Sun    #fed33c
Resene Bronco    #aba196
Resene Bronze    #3f2109
Resene Bronze Olive    #4e420c
Resene Bronzetone    #4d400f
Resene Broom    #ffec13
Resene Brown Bramble    #592804
Resene Brown Derby    #492615
Resene Brown Pod    #401801
Resene Bubbles    #e7feff
Resene Buccaneer    #622f30
Resene Bud    #a8ae9c
Resene Buddha Gold    #c1a004
Resene Bulgarian Rose    #480607
Resene Bull Shot    #864d1e
Resene Bunker    #0d1117
Resene Bunting    #151f4c
Resene Burgundy    #770f05
Resene Burnham    #002e20
Resene Burning Sand    #d99376
Resene Burnt Crimson    #65000b
Resene Bush    #0d2e1c
Resene Buttercup    #f3ad16
Resene Buttered Rum    #a1750d
Resene Butterfly Bush    #624e9a
Resene Buttermilk    #fff1b5
Resene Buttery White    #fffcea
Resene Cab Sav    #4d0a18
Resene Cabaret    #d94972
